dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Haddon Township,Collingswood,Collingswood,8108,39.91817,-75.07128,39,Casual,Black,0.17,8108,0,0,0,2,2,3,0,0,0,9,0,6,2,0,4,4
Fans,Philadelphia Phillies,MLB,Hainesport,Hainesport,Hainesport,8036,39.987212,-74.829308,30,Casual,Black,0.17,8036,0,0,0,0,0,0,10,0,0,0,0,0,6,0,4,10
Fans,Philadelphia Phillies,MLB,Hamburg,Hamburg,Hamburg,14075,42.729083,-78.837596,24,Convertible,Black,0.17,14075,0,0,10,0,0,6,0,0,0,0,0,5,0,0,0,0
Fans,Philadelphia Phillies,MLB,Hamilton Township,Trenton,Trenton,8610,40.201609,-74.704953,27,Casual,Black,0.17,8610,21,0,4,0,8,11,13,12,7,13,35,90,22,26,15,1
Fans,Philadelphia Phillies,MLB,Harleysville,Harleysville,Harleysville,19438,40.274188,-75.395188,42,Casual,Black,0.17,19438,0,0,17,2,0,0,0,0,3,0,2,15,1,11,0,7
Fans,Philadelphia Phillies,MLB,Harrisburg,Harrisburg,Harrisburg,17101,40.258655,-76.894376,0,Convertible,Black,0.17,17101,15,15,3,3,13,6,0,6,0,16,4,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Hatboro,Hatboro,Hatboro,19040,40.182406,-75.106265,46,Casual,Black,0.17,19040,0,0,0,0,0,0,0,0,0,10,6,1,3,8,4,10
Fans,Philadelphia Phillies,MLB,Hatfield,Hatfield,Hatfield,19440,40.286592,-75.29093,36,Casual,Black,0.17,19440,0,0,0,3,0,0,18,0,0,3,5,6,8,4,15,3
Fans,Philadelphia Phillies,MLB,Havertown,Havertown,Havertown,19083,39.974861,-75.312081,43,Casual,Black,0.17,19083,0,0,5,0,0,0,12,10,12,4,2,2,2,3,9,8
Fans,Philadelphia Phillies,MLB,Herndon,Herndon,Herndon,20170,38.983887,-77.367457,0,Convertible,Black,0.17,20170,2,4,8,0,5,0,0,12,6,2,24,19,15,23,19,43
