dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Eddystone,Crum Lynne,Crum Lynne,19022,39.86144,-75.337023,0,Convertible,Hispanic,0.18,19022,1,0,4,3,2,0,2,0,6,5,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Edgewater Park,Beverly,Beverly,8010,40.049948,-74.917061,17,Convertible,Hispanic,0.18,8010,0,8,0,4,0,0,0,1,14,3,1,5,10,2,2,13
Fans,Philadelphia Phillies,MLB,Elizabethville,Elizabethville,Elizabethville,17023,40.54897,-76.81192,0,Convertible,Hispanic,0.18,17023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Ellington,Ellington,Ellington,6029,41.90399,-72.46981,0,Convertible,Hispanic,0.18,6029,2,5,0,0,0,0,0,4,2,3,0,6,25,0,0,4
Fans,Philadelphia Phillies,MLB,Ephrata,Ephrata,Ephrata,98823,47.31764,-119.55365,29,Casual,Hispanic,0.18,98823,11,0,0,0,12,8,8,28,13,16,6,26,4,0,0,1
Fans,Philadelphia Phillies,MLB,Erma,Cape May,Cape May,8204,38.95928,-74.9274,26,Convertible,Hispanic,0.18,8204,6,0,0,0,0,0,0,0,0,8,0,0,40,0,6,0
Fans,Philadelphia Phillies,MLB,Exeter,Exeter,Exeter,3833,42.97731,-70.94687,0,Convertible,Hispanic,0.18,3833,0,0,0,0,0,2,0,0,0,0,0,15,11,12,1,2
Fans,Philadelphia Phillies,MLB,Exton,Exton,Exton,19341,40.049852,-75.637035,26,Convertible,Hispanic,0.18,19341,0,0,0,0,0,0,0,3,0,8,9,14,22,46,5,4
Fans,Philadelphia Phillies,MLB,Flourtown,Flourtown,Flourtown,19031,40.106805,-75.215071,42,Casual,Hispanic,0.18,19031,2,0,0,0,0,0,0,0,0,0,0,4,1,0,2,2
Fans,Philadelphia Phillies,MLB,Folcroft,Folcroft,Folcroft,19032,39.895162,-75.278829,17,Convertible,Hispanic,0.18,19032,0,0,2,0,0,0,0,4,0,0,0,1,7,2,0,0
Fans,Philadelphia Phillies,MLB,Folsom,Folsom,Folsom,19033,39.890962,-75.327282,38,Casual,Hispanic,0.18,19033,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Fans,Philadelphia Phillies,MLB,Fort Loudon,Fort Loudon,Fort Loudon,17224,39.91481,-77.90472,0,Convertible,Hispanic,0.18,17224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Fort Washington,Fort Washington,Fort Washington,19034,40.130959,-75.207437,19,Convertible,Hispanic,0.18,19034,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Franklin,Franklin,Franklin,37064,35.890746,-86.965691,25,Convertible,Hispanic,0.18,37064,15,3,6,8,10,12,0,7,15,5,34,7,17,5,8,10
Fans,Philadelphia Phillies,MLB,Gap,Gap,Gap,17527,40.011961,-76.021595,36,Casual,Hispanic,0.18,17527,0,0,0,0,3,0,0,0,0,0,0,2,5,0,4,0
Fans,Philadelphia Phillies,MLB,Gardendale,Gardendale,Gardendale,35071,33.70615,-86.848289,0,Convertible,Hispanic,0.18,35071,0,0,9,0,0,0,3,3,0,5,0,2,0,0,0,0
Fans,Philadelphia Phillies,MLB,Gilbertsville,Gilbertsville,Gilbertsville,19525,40.309952,-75.584885,41,Casual,Hispanic,0.18,19525,0,0,0,7,0,0,0,0,1,5,0,0,5,3,0,14
Fans,Philadelphia Phillies,MLB,Gladeview,Miami,Miami,33147,25.851779,-80.238173,0,Convertible,Hispanic,0.18,33147,59,60,83,51,37,69,44,72,62,151,57,149,53,44,115,22
Fans,Philadelphia Phillies,MLB,Gladwyne,Gladwyne,Gladwyne,19035,40.04486,-75.280686,17,Convertible,Hispanic,0.18,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Glenolden,Glenolden,Glenolden,19036,39.902512,-75.29268,72,Avid,Hispanic,0.18,19036,4,2,0,0,1,0,0,0,0,5,6,4,1,0,0,0
Fans,Philadelphia Phillies,MLB,Gloucester City,Gloucester City,Gloucester City,8030,39.890413,-75.112619,48,Casual,Hispanic,0.18,8030,3,6,0,10,0,8,1,4,1,15,8,18,23,5,2,2
Fans,Philadelphia Phillies,MLB,Goldsboro,Goldsboro,Goldsboro,27530,35.368277,-78.092871,0,Convertible,Hispanic,0.18,27530,5,1,3,5,0,18,2,4,6,7,50,24,2,5,1,3
Fans,Philadelphia Phillies,MLB,Greenville,Greenville,Greenville,45331,40.156478,-84.649068,18,Convertible,Hispanic,0.18,45331,1,0,2,1,0,1,3,2,0,0,2,4,3,1,0,0
Fans,Philadelphia Phillies,MLB,Greenwich Township,Stewartsville,Stewartsville,8886,40.717349,-75.072957,0,Convertible,Hispanic,0.18,8886,0,4,0,0,0,0,0,0,0,0,0,3,5,2,2,6
Fans,Philadelphia Phillies,MLB,Haddon Township,Collingswood,Collingswood,8108,39.91817,-75.07128,39,Casual,Hispanic,0.18,8108,0,0,5,0,0,0,6,0,4,7,6,5,3,0,2,4
Fans,Philadelphia Phillies,MLB,Hainesport,Hainesport,Hainesport,8036,39.987212,-74.829308,30,Casual,Hispanic,0.18,8036,0,0,3,0,0,0,9,0,2,9,0,0,0,0,10,4
Fans,Philadelphia Phillies,MLB,Hamburg,Hamburg,Hamburg,14075,42.729083,-78.837596,24,Convertible,Hispanic,0.18,14075,0,0,2,11,0,9,7,0,3,9,0,0,6,3,6,3
Fans,Philadelphia Phillies,MLB,Hamilton Township,Trenton,Trenton,8610,40.201609,-74.704953,27,Casual,Hispanic,0.18,8610,33,7,25,34,19,20,9,23,8,32,79,172,72,44,45,24
Fans,Philadelphia Phillies,MLB,Harleysville,Harleysville,Harleysville,19438,40.274188,-75.395188,42,Casual,Hispanic,0.18,19438,7,0,1,0,2,0,0,0,0,3,2,10,0,4,2,5
Fans,Philadelphia Phillies,MLB,Harrisburg,Harrisburg,Harrisburg,17101,40.258655,-76.894376,0,Convertible,Hispanic,0.18,17101,6,0,0,0,0,6,0,0,4,0,75,0,0,0,0,0
