dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Cuyahoga Falls,Cuyahoga Falls,Cuyahoga Falls,44221,0,41.143906,-81.473585,Hispanic,0.26,,convertible,INDEX MATCH,0,5,0,0,2,0,0,0,3,4,31,27,14,10,0,4
Fans,Oklahoma City Thunder,NBA,Davis,Davis,Davis,73030,0,34.501771,-97.047346,Hispanic,0.26,,convertible,INDEX MATCH,0,0,1,0,0,0,4,0,0,4,3,1,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Del City,Oklahoma City,Oklahoma City,73115,51,35.444931,-97.446013,Hispanic,0.26,,avid,INDEX MATCH,22,0,18,5,12,22,7,16,8,18,26,20,16,14,6,2
Fans,Oklahoma City Thunder,NBA,Delran,Riverside,Riverside,8075,0,40.029586,-74.948936,Hispanic,0.26,,convertible,INDEX MATCH,59,3,0,15,11,3,0,0,21,12,19,40,44,8,19,10
Fans,Oklahoma City Thunder,NBA,Dillon,Dillon,Dillon,29536,0,34.422187,-79.341359,Hispanic,0.26,,convertible,INDEX MATCH,13,4,0,12,0,0,0,0,0,0,0,0,0,0,0,9
Fans,Oklahoma City Thunder,NBA,Drexel Heights,Tucson,Tucson,85746,0,32.091607,-111.044296,Hispanic,0.26,,convertible,INDEX MATCH,161,75,95,93,98,143,111,132,152,202,318,501,328,194,159,60
Fans,Oklahoma City Thunder,NBA,Duncan,Duncan,Duncan,73533,13,34.547749,-97.933279,Hispanic,0.26,,casual,INDEX MATCH,18,3,15,10,11,11,12,28,15,21,20,30,21,8,0,5
Fans,Oklahoma City Thunder,NBA,Durant,Durant,Durant,74701,0,34.044944,-96.321428,Hispanic,0.26,,convertible,INDEX MATCH,4,9,5,13,11,5,23,20,3,14,14,13,15,0,10,12
Fans,Oklahoma City Thunder,NBA,Eagan,Saint Paul,Saint Paul,55121,9,44.847155,-93.153453,Hispanic,0.26,,casual,INDEX MATCH,0,0,0,2,0,5,0,0,2,15,2,3,3,2,0,2
Fans,Oklahoma City Thunder,NBA,East Patchogue,Patchogue,Patchogue,11772,0,40.76565,-73.01511,Hispanic,0.26,,convertible,INDEX MATCH,31,26,0,14,20,30,20,14,4,40,40,97,84,83,113,62
Fans,Oklahoma City Thunder,NBA,East Saint Louis,East Saint Louis,East Saint Louis,62201,0,38.644405,-90.140016,Hispanic,0.26,,convertible,INDEX MATCH,15,22,0,6,5,13,6,22,0,2,7,17,15,4,4,0
Fans,Oklahoma City Thunder,NBA,Edmond,Edmond,Edmond,73003,48,35.674777,-97.499681,Hispanic,0.26,,avid,INDEX MATCH,17,0,5,7,0,12,12,25,14,14,20,23,5,11,8,5
Fans,Oklahoma City Thunder,NBA,El Reno,El Reno,El Reno,73036,67,35.508128,-98.026708,Hispanic,0.26,,avid,INDEX MATCH,11,8,5,5,20,18,23,17,21,31,24,7,8,7,7,5
Fans,Oklahoma City Thunder,NBA,Elk City,Elk City,Elk City,73644,0,35.419594,-99.437791,Hispanic,0.26,,convertible,INDEX MATCH,4,26,23,0,40,4,3,14,36,22,10,16,42,0,11,0
Fans,Oklahoma City Thunder,NBA,Enid,Enid,Enid,73701,34,36.402681,-97.843091,Hispanic,0.26,,casual,INDEX MATCH,36,13,16,8,20,4,23,19,7,37,85,68,31,0,3,0
Fans,Oklahoma City Thunder,NBA,Euclid,Euclid,Euclid,44117,3,41.566834,-81.526142,Hispanic,0.26,,convertible,INDEX MATCH,17,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0
Fans,Oklahoma City Thunder,NBA,Everett,Everett,Everett,98201,0,47.988661,-122.199795,Hispanic,0.26,,convertible,INDEX MATCH,10,17,0,20,17,5,0,7,1,39,30,28,17,17,45,14
Fans,Oklahoma City Thunder,NBA,Fairmont,Fairmont,Fairmont,56031,0,43.674049,-94.51078,Hispanic,0.26,,convertible,INDEX MATCH,11,5,0,10,0,4,0,0,3,15,5,0,21,0,0,0
Fans,Oklahoma City Thunder,NBA,Falcon,Falcon,Falcon,28342,0,35.18989,-78.64835,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Farmington,Farmington,Farmington,14425,0,42.958041,-77.308256,Hispanic,0.26,,convertible,INDEX MATCH,0,0,3,0,0,20,13,0,0,0,7,0,6,3,5,0
Fans,Oklahoma City Thunder,NBA,Federal Way,Auburn,Auburn,98001,16,47.309496,-122.264469,Hispanic,0.26,,casual,INDEX MATCH,18,2,16,6,0,0,5,0,3,17,66,44,12,10,37,38
Fans,Oklahoma City Thunder,NBA,Ferry Pass,Pensacola,Pensacola,32514,0,30.537068,-87.241202,Hispanic,0.26,,convertible,INDEX MATCH,24,7,2,27,7,0,7,23,0,37,61,39,36,32,11,9
Fans,Oklahoma City Thunder,NBA,Flowing Wells,Tucson,Tucson,85705,0,32.271355,-110.992051,Hispanic,0.26,,convertible,INDEX MATCH,311,283,140,210,166,278,167,151,115,151,228,263,31,44,30,25
Fans,Oklahoma City Thunder,NBA,Fort Leonard Wood,Fort Leonard Wood,Fort Leonard Wood,65473,0,37.767687,-92.111975,Hispanic,0.26,,convertible,INDEX MATCH,5,0,12,0,2,5,8,0,10,9,19,29,33,1,7,0
Fans,Oklahoma City Thunder,NBA,Fort Smith,Fort Smith,Fort Smith,72901,8,35.366188,-94.416458,Hispanic,0.26,,casual,INDEX MATCH,0,33,4,19,27,24,0,22,0,27,49,36,30,14,3,0
Fans,Oklahoma City Thunder,NBA,Franklin Square,Franklin Square,Franklin Square,11010,0,40.700101,-73.674074,Hispanic,0.26,,convertible,INDEX MATCH,0,5,0,7,0,11,3,2,0,15,16,40,18,21,33,118
Fans,Oklahoma City Thunder,NBA,Friendly,Friendly,Friendly,26146,0,39.496137,-81.057241,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Garden City,Garden City,Garden City,11530,0,40.726801,-73.639723,Hispanic,0.26,,convertible,INDEX MATCH,9,9,0,13,1,3,0,0,0,3,4,5,9,2,9,80
Fans,Oklahoma City Thunder,NBA,Glenn Heights,Red Oak,Red Oak,75154,0,32.51764,-96.80444,Hispanic,0.26,,convertible,INDEX MATCH,21,61,7,27,48,39,60,41,23,57,41,119,111,65,34,82
Fans,Oklahoma City Thunder,NBA,Glenpool,Glenpool,Glenpool,74033,0,35.95537,-96.00888,Hispanic,0.26,,convertible,INDEX MATCH,2,0,0,3,0,0,7,0,4,4,9,4,14,0,0,5
Fans,Oklahoma City Thunder,NBA,Goddard,Goddard,Goddard,67052,2,37.663432,-97.579616,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,3,0,8,0,2,7,0
Fans,Oklahoma City Thunder,NBA,Golden Valley,Minneapolis,Minneapolis,55427,3,44.999964,-93.390979,Hispanic,0.26,,convertible,INDEX MATCH,4,0,0,2,0,12,0,0,0,0,20,7,20,14,8,22
Fans,Oklahoma City Thunder,NBA,Goldens Bridge,Goldens Bridge,Goldens Bridge,10526,0,41.300361,-73.647891,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
Fans,Oklahoma City Thunder,NBA,Goldsby,Washington,Washington,73093,19,35.105058,-97.468258,Hispanic,0.26,,casual,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,0
Fans,Oklahoma City Thunder,NBA,Gordonsville,Gordonsville,Gordonsville,38563,0,36.17256,-85.92971,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Greenacres,West Palm Beach,West Palm Beach,33413,0,26.655494,-80.159616,Hispanic,0.26,,convertible,INDEX MATCH,0,11,29,19,7,16,7,12,30,35,37,110,45,60,34,10
Fans,Oklahoma City Thunder,NBA,Groton,Groton,Groton,13073,0,42.579298,-76.392709,Hispanic,0.26,,convertible,INDEX MATCH,3,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0
Fans,Oklahoma City Thunder,NBA,Guthrie,Guthrie,Guthrie,73044,49,35.877129,-97.456312,Hispanic,0.26,,avid,INDEX MATCH,0,0,0,0,0,15,0,4,0,0,38,22,17,7,5,11
Fans,Oklahoma City Thunder,NBA,Hacienda Heights,Hacienda Heights,Hacienda Heights,91745,0,33.976114,-117.981631,Hispanic,0.26,,convertible,INDEX MATCH,32,17,8,24,34,34,41,43,51,84,103,213,147,147,226,327
Fans,Oklahoma City Thunder,NBA,Hamden,Hamden,Hamden,6514,0,41.372723,-72.938747,Hispanic,0.26,,convertible,INDEX MATCH,21,6,2,0,52,21,7,10,10,11,42,69,58,17,53,16
Fans,Oklahoma City Thunder,NBA,Harrah,Harrah,Harrah,73045,0,35.48951,-97.16364,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,5,4,0,2,5,2,3,3,6,2,0,3,2
Fans,Oklahoma City Thunder,NBA,Harvey,Harvey,Harvey,60426,0,41.61003,-87.64671,Hispanic,0.26,,convertible,INDEX MATCH,27,12,8,28,33,9,15,19,4,48,126,54,31,10,29,26
Fans,Oklahoma City Thunder,NBA,Hatboro,Hatboro,Hatboro,19040,0,40.182406,-75.106265,Hispanic,0.26,,convertible,INDEX MATCH,10,7,6,8,0,10,0,0,0,0,5,4,10,2,5,19
Fans,Oklahoma City Thunder,NBA,Healdton,Healdton,Healdton,73438,0,34.23315,-97.4878,Hispanic,0.26,,convertible,INDEX MATCH,2,2,0,0,0,1,0,2,2,3,2,2,0,3,0,0
Fans,Oklahoma City Thunder,NBA,Hendersonville,Hendersonville,Hendersonville,37075,0,36.347551,-86.612045,Hispanic,0.26,,convertible,INDEX MATCH,7,3,0,2,0,11,0,10,18,15,0,9,19,20,42,18
Fans,Oklahoma City Thunder,NBA,Hennessey,Hennessey,Hennessey,73742,0,36.1092,-97.89867,Hispanic,0.26,,convertible,INDEX MATCH,0,18,8,6,0,4,1,0,15,2,11,8,2,3,0,0
Fans,Oklahoma City Thunder,NBA,Hollister,Hollister,Hollister,95023,0,36.828078,-121.3924,Hispanic,0.26,,convertible,INDEX MATCH,37,78,51,18,78,43,58,83,84,150,217,413,225,271,313,294
Fans,Oklahoma City Thunder,NBA,Hot Springs,Hot Springs National Park,Hot Springs National Park,71901,0,34.526841,-92.958697,Hispanic,0.26,,convertible,INDEX MATCH,2,1,12,2,14,4,15,13,8,34,7,23,41,4,2,0
Fans,Oklahoma City Thunder,NBA,Hudson,Hudson,Hudson,34667,0,28.382489,-82.64803,Hispanic,0.26,,convertible,INDEX MATCH,2,64,23,41,22,20,10,2,3,11,11,36,11,13,0,0
