dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Delran,Riverside,Riverside,8075,0,40.029586,-74.948936,Black,0.27,,convertible,INDEX MATCH,11,17,14,11,5,18,23,9,27,97,56,28,47,6,27,40
Fans,Oklahoma City Thunder,NBA,Dillon,Dillon,Dillon,29536,0,34.422187,-79.341359,Black,0.27,,convertible,INDEX MATCH,66,59,37,58,43,114,16,76,15,78,87,28,52,10,8,27
Fans,Oklahoma City Thunder,NBA,Drexel Heights,Tucson,Tucson,85746,0,32.091607,-111.044296,Black,0.27,,convertible,INDEX MATCH,9,3,11,0,10,0,0,2,4,18,4,19,1,3,5,6
Fans,Oklahoma City Thunder,NBA,Duncan,Duncan,Duncan,73533,13,34.547749,-97.933279,Black,0.27,,casual,INDEX MATCH,5,2,3,4,2,2,6,0,11,8,0,26,0,1,0,4
Fans,Oklahoma City Thunder,NBA,Durant,Durant,Durant,74701,0,34.044944,-96.321428,Black,0.27,,convertible,INDEX MATCH,7,8,6,3,0,0,15,11,0,0,2,6,4,0,0,0
Fans,Oklahoma City Thunder,NBA,Eagan,Saint Paul,Saint Paul,55121,9,44.847155,-93.153453,Black,0.27,,casual,INDEX MATCH,2,0,3,4,4,5,3,31,3,13,0,32,15,9,22,1
Fans,Oklahoma City Thunder,NBA,East Patchogue,Patchogue,Patchogue,11772,0,40.76565,-73.01511,Black,0.27,,convertible,INDEX MATCH,12,7,0,0,0,19,0,4,6,24,15,57,16,5,15,28
Fans,Oklahoma City Thunder,NBA,East Saint Louis,East Saint Louis,East Saint Louis,62201,0,38.644405,-90.140016,Black,0.27,,convertible,INDEX MATCH,104,103,74,14,43,0,12,6,0,6,17,19,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Edmond,Edmond,Edmond,73003,48,35.674777,-97.499681,Black,0.27,,avid,INDEX MATCH,9,21,0,6,0,0,11,27,0,12,13,25,2,0,28,5
Fans,Oklahoma City Thunder,NBA,El Reno,El Reno,El Reno,73036,67,35.508128,-98.026708,Black,0.27,,avid,INDEX MATCH,21,0,6,0,1,0,6,9,20,6,12,5,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Elk City,Elk City,Elk City,73644,0,35.419594,-99.437791,Black,0.27,,convertible,INDEX MATCH,0,1,0,0,27,0,2,0,0,0,1,2,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Enid,Enid,Enid,73701,34,36.402681,-97.843091,Black,0.27,,casual,INDEX MATCH,15,13,0,0,5,0,9,5,16,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Euclid,Euclid,Euclid,44117,3,41.566834,-81.526142,Black,0.27,,convertible,INDEX MATCH,191,108,61,55,49,56,21,53,48,111,45,35,44,7,13,33
Fans,Oklahoma City Thunder,NBA,Everett,Everett,Everett,98201,0,47.988661,-122.199795,Black,0.27,,convertible,INDEX MATCH,8,4,0,0,6,0,0,0,0,5,8,5,14,6,0,4
Fans,Oklahoma City Thunder,NBA,Fairmont,Fairmont,Fairmont,56031,0,43.674049,-94.51078,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Falcon,Falcon,Falcon,28342,0,35.18989,-78.64835,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Farmington,Farmington,Farmington,14425,0,42.958041,-77.308256,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,7,13,0,0,0,4,0,0,0,3,0,0
Fans,Oklahoma City Thunder,NBA,Federal Way,Auburn,Auburn,98001,16,47.309496,-122.264469,Black,0.27,,casual,INDEX MATCH,3,9,0,3,0,2,5,0,0,11,0,32,40,50,25,7
Fans,Oklahoma City Thunder,NBA,Ferry Pass,Pensacola,Pensacola,32514,0,30.537068,-87.241202,Black,0.27,,convertible,INDEX MATCH,83,102,48,65,24,77,29,29,16,80,217,78,56,42,47,5
Fans,Oklahoma City Thunder,NBA,Flowing Wells,Tucson,Tucson,85705,0,32.271355,-110.992051,Black,0.27,,convertible,INDEX MATCH,19,27,19,33,31,12,25,0,21,12,3,21,6,0,0,0
Fans,Oklahoma City Thunder,NBA,Fort Leonard Wood,Fort Leonard Wood,Fort Leonard Wood,65473,0,37.767687,-92.111975,Black,0.27,,convertible,INDEX MATCH,0,5,12,0,0,0,12,0,4,9,17,8,1,0,0,0
Fans,Oklahoma City Thunder,NBA,Fort Smith,Fort Smith,Fort Smith,72901,8,35.366188,-94.416458,Black,0.27,,casual,INDEX MATCH,26,32,14,19,50,10,4,19,9,8,20,14,6,0,0,0
Fans,Oklahoma City Thunder,NBA,Franklin Square,Franklin Square,Franklin Square,11010,0,40.700101,-73.674074,Black,0.27,,convertible,INDEX MATCH,0,14,0,0,0,0,0,0,0,0,0,5,15,0,6,12
Fans,Oklahoma City Thunder,NBA,Friendly,Friendly,Friendly,26146,0,39.496137,-81.057241,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Garden City,Garden City,Garden City,11530,0,40.726801,-73.639723,Black,0.27,,convertible,INDEX MATCH,3,0,0,0,8,0,0,0,0,2,0,0,0,7,0,5
