dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Gladwyne,Gladwyne,Gladwyne,19035,40.04486,-75.280686,17,Convertible,White,0.62,19035,5,0,0,11,10,5,7,14,6,0,45,33,36,32,17,68
Fans,Philadelphia Phillies,MLB,Glenolden,Glenolden,Glenolden,19036,39.902512,-75.29268,72,Avid,White,0.62,19036,22,37,87,112,91,104,56,97,104,92,150,296,466,275,259,185
Fans,Philadelphia Phillies,MLB,Gloucester City,Gloucester City,Gloucester City,8030,39.890413,-75.112619,48,Casual,White,0.62,8030,177,79,47,86,148,56,33,138,100,73,246,153,360,440,197,118
Fans,Philadelphia Phillies,MLB,Goldsboro,Goldsboro,Goldsboro,27530,35.368277,-78.092871,0,Convertible,White,0.62,27530,235,243,189,200,249,257,95,229,188,157,519,433,687,441,552,291
Fans,Philadelphia Phillies,MLB,Greenville,Greenville,Greenville,45331,40.156478,-84.649068,18,Convertible,White,0.62,45331,350,206,445,257,301,283,79,341,259,308,538,485,859,436,198,264
Fans,Philadelphia Phillies,MLB,Greenwich Township,Stewartsville,Stewartsville,8886,40.717349,-75.072957,0,Convertible,White,0.62,8886,8,6,7,16,25,52,30,6,32,6,87,43,108,166,76,269
Fans,Philadelphia Phillies,MLB,Haddon Township,Collingswood,Collingswood,8108,39.91817,-75.07128,39,Casual,White,0.62,8108,275,150,184,171,78,148,61,64,57,79,175,387,581,500,669,710
Fans,Philadelphia Phillies,MLB,Hainesport,Hainesport,Hainesport,8036,39.987212,-74.829308,30,Casual,White,0.62,8036,0,13,12,28,16,0,12,61,0,34,57,99,183,143,116,173
Fans,Philadelphia Phillies,MLB,Hamburg,Hamburg,Hamburg,14075,42.729083,-78.837596,24,Convertible,White,0.62,14075,370,339,171,433,572,333,124,425,440,510,800,1326,1265,1290,1102,1440
Fans,Philadelphia Phillies,MLB,Hamilton Township,Trenton,Trenton,8610,40.201609,-74.704953,27,Casual,White,0.62,8610,201,108,159,126,203,89,50,119,132,105,307,371,688,494,480,598
